"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"customfield_11797","customfield_11797","Category","True","True","True","True","Category[Dropdown], cf[11797]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","11797",
"customfield_11796","customfield_11796","Project target","True","True","True","True","Project target[Interval], cf[11796], Project target","string",,"jira.polaris:interval","11796",
"customfield_10224","customfield_10224","PMD Categorization","True","True","True","True","PMD Categorization, PMD Categorization[Labels], cf[10224]","array","string","com.atlassian.jira.plugin.system.customfieldtypes:labels","10224",
"customfield_10103","customfield_10103","External Issue URL","True","True","True","True","External Issue URL, External Issue URL[Short text], cf[10103]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10103",
"customfield_10466","customfield_10466","End Date (migrated)","True","True","True","True","cf[10466], End Date (migrated)[Date], End Date (migrated)","date",,"com.atlassian.jira.plugin.system.customfieldtypes:datepicker","10466",
"customfield_10345","customfield_10345","Open forms","True","True","True","True","Open forms, cf[10345]","number",,"com.atlassian.jira.plugins.proforma-managed-fields:forms-open-field-cftype","10345",
"customfield_10215","customfield_10215","Benefits","True","True","True","True","cf[10215], Benefits[Paragraph], Benefits","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10215",
"customfield_10579","customfield_10579","Service (migrated)","True","True","True","True","cf[10579], Service (migrated)[Dropdown], Service (migrated)","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10579",
"customfield_10458","customfield_10458","Collateral Approver","True","True","True","True","Collateral Approver[User Picker (single user)], cf[10458], Collateral Approver","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10458",
"customfield_10216","customfield_10216","Requesting Department","True","True","True","True","Requesting Department[Select List (cascading)], cf[10216], Requesting Department","option-with-child",,"com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect","10216",
